timestamp,pitch,roll,yaw,x,y,z
14489,-0.3841,-0.1951,-3.0529,-0.1709,-0.1709,-0.9539
14510,-0.3819,-0.1895,-3.0419,-0.1719,-0.1719,-0.9390
14530,-0.3801,-0.1813,-3.0289,-0.1638,-0.1638,-0.8990
14550,-0.3787,-0.1719,-3.0131,-0.1470,-0.1470,-0.8789
14570,-0.3780,-0.1616,-2.9930,-0.1270,-0.1270,-0.8858
14590,-0.3779,-0.1508,-2.9670,-0.1118,-0.1118,-0.9348
14610,-0.3779,-0.1393,-2.9353,-0.1079,-0.1079,-0.9820
14631,-0.3763,-0.1254,-2.9020,-0.0999,-0.0999,-0.9400
14651,-0.3729,-0.1093,-2.8688,-0.0999,-0.0999,-0.8728
14671,-0.3680,-0.0939,-2.8329,-0.0708,-0.0708,-0.8638
14691,-0.3624,-0.0805,-2.7921,-0.0469,-0.0469,-0.9019
14711,-0.3560,-0.0681,-2.7459,-0.0239,-0.0239,-0.9720
14732,-0.3485,-0.0548,-2.6977,-0.0540,-0.0540,-0.9358
14752,-0.3393,-0.0393,-2.6528,-0.0688,-0.0688,-0.8538
14772,-0.3299,-0.0258,-2.6100,-0.0789,-0.0789,-0.8079
14792,-0.3206,-0.0171,-2.5673,-0.0530,-0.0530,-0.8399
14812,-0.3115,-0.0128,-2.5239,-0.0229,-0.0229,-0.9158
14833,-0.3026,-0.0093,-2.4821,-0.0198,-0.0198,-0.9549
14853,-0.2940,-0.0056,-2.4425,-0.0449,-0.0449,-0.9278
14873,-0.2860,-0.0026,-2.4045,-0.0518,-0.0518,-0.9239
14893,-0.2789,-0.0018,-2.3673,-0.0488,-0.0488,-0.9219
14913,-0.2715,-0.0018,-2.3316,-0.0479,-0.0479,-0.9309
14933,-0.2639,-0.0024,-2.2982,-0.0549,-0.0549,-0.9219
14954,-0.2564,-0.0031,-2.2678,-0.0549,-0.0549,-0.9488
14974,-0.2493,-0.0038,-2.2398,-0.0518,-0.0518,-0.9849
14994,-0.2433,-0.0045,-2.2142,-0.0469,-0.0469,-0.9849
15014,-0.2381,-0.0051,-2.1904,-0.0469,-0.0469,-0.9910
15034,-0.2338,-0.0059,-2.1684,-0.0498,-0.0498,-0.9678
15055,-0.2301,-0.0077,-2.1485,-0.0549,-0.0549,-0.9400
15075,-0.2249,-0.0113,-2.1146,-0.0479,-0.0479,-0.9138
15095,-0.2216,-0.0140,-2.0985,-0.0339,-0.0339,-0.9468
15115,-0.2186,-0.0162,-2.0833,-0.0288,-0.0288,-0.9820
15135,-0.2166,-0.0180,-2.0691,-0.0339,-0.0339,-0.9820
15155,-0.2150,-0.0202,-2.0555,-0.0459,-0.0459,-0.9778
15176,-0.2135,-0.0231,-2.0422,-0.0488,-0.0488,-0.9600
15196,-0.2124,-0.0260,-2.0288,-0.0469,-0.0469,-0.9639
15216,-0.2123,-0.0284,-2.0153,-0.0388,-0.0388,-0.9820
15236,-0.2129,-0.0299,-2.0020,-0.0388,-0.0388,-0.9798
15256,-0.2145,-0.0306,-1.9885,-0.0488,-0.0488,-0.9778
15277,-0.2158,-0.0302,-1.9753,-0.0518,-0.0518,-0.9820
15297,-0.2170,-0.0286,-1.9627,-0.0508,-0.0508,-0.9798
15317,-0.2189,-0.0267,-1.9504,-0.0479,-0.0479,-0.9749
15337,-0.2218,-0.0247,-1.9385,-0.0388,-0.0388,-0.9688
15357,-0.2257,-0.0224,-1.9274,-0.0298,-0.0298,-0.9698
15378,-0.2305,-0.0196,-1.9177,-0.0298,-0.0298,-0.9588
15398,-0.2369,-0.0166,-1.9096,-0.0188,-0.0188,-0.9529
15418,-0.2445,-0.0143,-1.9037,-0.0178,-0.0178,-0.9429
15438,-0.2524,-0.0130,-1.9000,-0.0168,-0.0168,-0.9339
15458,-0.2584,-0.0125,-1.8990,-0.0339,-0.0339,-0.9610
15478,-0.2629,-0.0126,-1.8996,-0.0449,-0.0449,-0.9688
15499,-0.2645,-0.0140,-1.9010,-0.0459,-0.0459,-0.9939
15519,-0.2640,-0.0154,-1.9035,-0.0479,-0.0479,-1.0078
15539,-0.2620,-0.0157,-1.9061,-0.0430,-0.0430,-1.0049
15559,-0.2597,-0.0151,-1.9083,-0.0388,-0.0388,-1.0020
15579,-0.2579,-0.0136,-1.9101,-0.0420,-0.0420,-0.9849
15600,-0.2557,-0.0105,-1.9115,-0.0398,-0.0398,-0.9649
15620,-0.2512,-0.0088,-1.9133,-0.1328,-0.1328,-0.6758
15640,-0.2510,-0.0053,-1.9165,-0.0498,-0.0498,-1.0889
15660,-0.2503,-0.0043,-1.9197,0.0110,0.0110,-0.8770
15680,-0.2508,-0.0028,-1.9236,0.0139,0.0139,-0.9710
15701,-0.2501,-0.0019,-1.9270,0.0288,0.0288,-0.9610
15721,-0.2502,-0.0012,-1.9302,0.0178,0.0178,-0.9588
15741,-0.2504,-0.0007,-1.9331,0.0120,0.0120,-0.9600
15761,-0.2508,-0.0005,-1.9351,0.0010,0.0010,-0.9568
15781,-0.2499,-0.0001,-1.9365,0.0388,0.0388,-1.0288
15801,-0.2510,-0.0020,-1.9374,-0.0088,-0.0088,-0.7298
15822,-0.2529,-0.0001,-1.9388,-0.0439,-0.0439,-1.0330
15842,-0.2555,-0.0008,-1.9382,-0.0178,-0.0178,-0.9129
15862,-0.2588,-0.0007,-1.9377,-0.0129,-0.0129,-0.9868
15882,-0.2617,-0.0022,-1.9363,-0.0269,-0.0269,-0.9358
15902,-0.2634,-0.0024,-1.9357,-0.0349,-0.0349,-0.9969
15923,-0.2637,-0.0026,-1.9355,-0.0439,-0.0439,-0.9798
15943,-0.2624,-0.0029,-1.9359,-0.0388,-0.0388,-0.9610
15963,-0.2606,-0.0036,-1.9372,-0.0288,-0.0288,-0.9788
15983,-0.2590,-0.0037,-1.9402,-0.0110,-0.0110,-0.9688
16003,-0.2586,-0.0036,-1.9440,0.0039,0.0039,-0.9468
